degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
3.750000000000000000e-01,1.483870893716812134e-01,8.350357413291931152e-02,4.316129088401794434e-01,3.685913681983947754e-01,1.467889291234314442e-03,3.928571343421936035e-01,3.498195707798004150e-01
1.851851791143417358e-01,2.709677517414093018e-01,8.724159002304077148e-02,4.359293282032012939e-01,3.563049733638763428e-01,1.347018312662839890e-02,3.634020686149597168e-01,5.997105240821838379e-01
3.571428656578063965e-01,1.806451678276062012e-01,1.027465015649795532e-01,4.511981606483459473e-01,3.697504699230194092e-01,3.991236444562673569e-03,3.488063514232635498e-01,3.997924327850341797e-01
2.222222238779067993e-01,2.064516097307205200e-01,1.302744001150131226e-01,4.955914020538330078e-01,4.204525053501129150e-01,0.000000000000000000e+00,3.413793146610260010e-01,2.818130850791931152e-01
4.000000059604644775e-01,1.032258048653602600e-01,6.008071824908256531e-02,4.042088985443115234e-01,3.468867242336273193e-01,1.217271492350846529e-04,3.736263811588287354e-01,3.337170481681823730e-01
2.500000000000000000e-01,9.032258391380310059e-02,4.358695819973945618e-02,3.983871042728424072e-01,3.606768250465393066e-01,4.869021475315093994e-03,1.428571492433547974e-01,3.698108196258544922e-01
3.333333432674407959e-01,1.612903177738189697e-01,7.570690661668777466e-02,4.260215163230895996e-01,3.640267550945281982e-01,5.451602861285209656e-03,3.392857015132904053e-01,4.407632052898406982e-01
3.125000000000000000e-01,2.064516097307205200e-01,7.944169640541076660e-02,4.364516139030456543e-01,3.651572763919830322e-01,5.539576988667249680e-03,2.615207433700561523e-01,4.741975665092468262e-01
2.000000029802322388e-01,1.096774190664291382e-01,5.310066416859626770e-02,4.031182825565338135e-01,3.563049733638763428e-01,7.795019075274467468e-03,2.548076808452606201e-01,4.185918867588043213e-01
1.739130467176437378e-01,1.741935461759567261e-01,6.163231283426284790e-02,4.170967638492584229e-01,3.530950248241424561e-01,4.475634079426527023e-03,2.071428596973419189e-01,5.095089077949523926e-01
5.000000000000000000e-01,6.451612710952758789e-02,4.098651185631752014e-02,3.932258188724517822e-01,3.499423861503601074e-01,5.856694042449817061e-05,4.000000059604644775e-01,3.592754006385803223e-01
3.043478131294250488e-01,1.612903177738189697e-01,5.790203064680099487e-02,4.092473089694976807e-01,3.468455672264099121e-01,5.978086031973361969e-03,2.257525026798248291e-01,5.504498481750488281e-01
2.500000000000000000e-01,1.290322542190551758e-01,4.278133809566497803e-02,3.807526826858520508e-01,3.293575346469879150e-01,3.438238054513931274e-03,1.960784345865249634e-01,4.722715020179748535e-01
4.285714328289031982e-01,1.741935461759567261e-01,1.036187782883644104e-01,4.582795798778533936e-01,3.893398940563201904e-01,1.956352265551686287e-03,3.043478131294250488e-01,3.292207717895507812e-01
4.000000059604644775e-01,1.290322542190551758e-01,7.314991950988769531e-02,4.367741942405700684e-01,3.792923986911773682e-01,5.403432529419660568e-03,2.473684251308441162e-01,3.321798145771026611e-01
3.333333432674407959e-01,7.741935551166534424e-02,3.422278910875320435e-02,3.623809516429901123e-01,3.091425597667694092e-01,0.000000000000000000e+00,4.444444477558135986e-01,3.955671191215515137e-01
3.750000000000000000e-01,1.225806474685668945e-01,6.152175366878509521e-02,4.222580790519714355e-01,3.640267550945281982e-01,7.815896533429622650e-03,3.111111223697662354e-01,3.056184351444244385e-01
1.666666716337203979e-01,9.677419066429138184e-02,4.413000494241714478e-02,3.745161294937133789e-01,3.203832209110260010e-01,2.517424873076379299e-04,3.717948794364929199e-01,4.339701533317565918e-01
2.000000029802322388e-01,1.419354826211929321e-01,6.627054512500762939e-02,4.095698893070220947e-01,3.448112905025482178e-01,1.165841333568096161e-02,4.312169253826141357e-01,4.499418437480926514e-01
2.727272808551788330e-01,1.612903177738189697e-01,9.309078752994537354e-02,4.329185783863067627e-01,3.573879897594451904e-01,6.349656032398343086e-04,4.189723432064056396e-01,3.599658012390136719e-01
1.250000000000000000e-01,1.806451678276062012e-01,9.365957975387573242e-02,4.432258009910583496e-01,3.709168732166290283e-01,2.379263052716851234e-03,3.584656119346618652e-01,4.313454926013946533e-01
2.500000000000000000e-01,1.096774190664291382e-01,5.723701417446136475e-02,4.208602011203765869e-01,3.682994842529296875e-01,1.295168302021920681e-03,2.285714298486709595e-01,2.158396989107131958e-01
1.250000000000000000e-01,1.677419394254684448e-01,8.641934394836425781e-02,4.450691342353820801e-01,3.732718825340270996e-01,3.289517713710665703e-03,2.807970941066741943e-01,3.943543434143066406e-01
5.000000000000000000e-01,1.096774190664291382e-01,6.256461888551712036e-02,4.287096858024597168e-01,3.740721940994262695e-01,1.863398007117211819e-03,1.654411703348159790e-01,2.344948947429656982e-01
3.000000119209289551e-01,7.741935551166534424e-02,2.927253581583499908e-02,3.750691115856170654e-01,3.302827179431915283e-01,1.719891792163252831e-03,9.090909361839294434e-02,3.862626552581787109e-01
2.500000000000000000e-01,9.677419066429138184e-02,4.992911964654922485e-02,3.956067562103271484e-01,3.380425870418548584e-01,0.000000000000000000e+00,3.589743673801422119e-01,3.468600511550903320e-01
1.428571492433547974e-01,1.096774190664291382e-01,4.247236996889114380e-02,3.738709688186645508e-01,3.221387565135955811e-01,7.078137132339179516e-04,3.952381014823913574e-01,5.042708516120910645e-01
1.428571492433547974e-01,1.548387110233306885e-01,6.925471872091293335e-02,4.274193644523620605e-01,3.697504699230194092e-01,2.813279442489147186e-02,2.619047760963439941e-01,3.780182898044586182e-01
1.333333402872085571e-01,1.677419394254684448e-01,7.354578375816345215e-02,4.219354987144470215e-01,3.606768250465393066e-01,3.438534447923302650e-03,2.681159377098083496e-01,4.399128556251525879e-01
3.333333432674407959e-01,8.387096971273422241e-02,5.289592593908309937e-02,3.996774256229400635e-01,3.499423861503601074e-01,1.941329427063465118e-02,2.820512950420379639e-01,2.846248447895050049e-01
1.428571492433547974e-01,9.032258391380310059e-02,3.634592518210411072e-02,3.559293448925018311e-01,3.022638559341430664e-01,6.650683353655040264e-04,3.571428656578063965e-01,5.361988544464111328e-01
3.571428656578063965e-01,1.032258048653602600e-01,3.143896535038948059e-02,3.653917014598846436e-01,3.152296245098114014e-01,1.170166535302996635e-03,2.708333432674407959e-01,6.028267741203308105e-01
