degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
3.333333432674407959e-01,1.749999970197677612e-01,8.250698447227478027e-02,4.757291674613952637e-01,4.070262610912322998e-01,2.887992421165108681e-03,3.753846287727355957e-01,3.167337179183959961e-01
2.000000029802322388e-01,1.749999970197677612e-01,8.479373157024383545e-02,4.608333408832550049e-01,3.993945419788360596e-01,1.408500596880912781e-03,2.445820420980453491e-01,2.786987423896789551e-01
2.222222238779067993e-01,2.000000029802322388e-01,8.817128837108612061e-02,4.778124988079071045e-01,4.149553477764129639e-01,1.146685704588890076e-02,2.464503049850463867e-01,3.506486415863037109e-01
2.000000029802322388e-01,1.500000059604644775e-01,7.350969314575195312e-02,4.407291710376739502e-01,3.770096004009246826e-01,7.499078637920320034e-04,2.922077775001525879e-01,2.674625515937805176e-01
1.250000000000000000e-01,1.437499970197677612e-01,4.918377101421356201e-02,4.340625107288360596e-01,3.715297877788543701e-01,2.683402039110660553e-03,3.234126865863800049e-01,4.462315738201141357e-01
4.000000059604644775e-01,1.187499985098838806e-01,5.973327532410621643e-02,4.327083230018615723e-01,3.737024962902069092e-01,8.895483333617448807e-04,3.362573087215423584e-01,3.267930746078491211e-01
3.333333432674407959e-01,3.437500000000000000e-01,1.154257506132125854e-01,4.989583194255828857e-01,4.204152822494506836e-01,7.998468354344367981e-03,2.416424453258514404e-01,4.499748647212982178e-01
1.428571492433547974e-01,1.375000029802322388e-01,7.828159630298614502e-02,4.541666805744171143e-01,4.044501483440399170e-01,1.427073497325181961e-03,2.710526287555694580e-01,2.205126732587814331e-01
5.000000000000000000e-01,1.000000014901161194e-01,3.209566324949264526e-02,3.888541758060455322e-01,3.336977660655975342e-01,2.897974045481532812e-04,4.291666746139526367e-01,4.667509496212005615e-01
2.500000000000000000e-01,1.875000000000000000e-01,9.496729820966720581e-02,4.833333194255828857e-01,4.218028187751770020e-01,8.804813027381896973e-03,2.480106055736541748e-01,2.561832070350646973e-01
2.500000000000000000e-01,1.749999970197677612e-01,4.053252935409545898e-02,4.128125011920928955e-01,3.570007085800170898e-01,1.946373609825968742e-03,2.145061790943145752e-01,5.401061773300170898e-01
2.500000000000000000e-01,1.687500029802322388e-01,8.757860213518142700e-02,4.734374880790710449e-01,4.136124551296234131e-01,7.066587917506694794e-03,3.043478131294250488e-01,1.967524290084838867e-01
2.857142984867095947e-01,1.937499940395355225e-01,9.567581117153167725e-02,4.720833301544189453e-01,3.969138264656066895e-01,1.999278319999575615e-03,2.807881832122802734e-01,2.833373546600341797e-01
3.333333432674407959e-01,1.749999970197677612e-01,9.925696998834609985e-02,4.712499976158142090e-01,4.096354246139526367e-01,1.813712762668728828e-03,2.492307722568511963e-01,2.225785255432128906e-01
3.333333432674407959e-01,1.500000059604644775e-01,5.036977678537368774e-02,4.277083277702331543e-01,3.662070333957672119e-01,4.734508693218231201e-03,3.268398344516754150e-01,4.339788854122161865e-01
4.230769276618957520e-01,2.937499880790710449e-01,1.524977087974548340e-01,5.281249880790710449e-01,4.500220119953155518e-01,9.689607657492160797e-03,2.176767736673355103e-01,2.393462657928466797e-01
